7E 7E 19 00 6D EB 5E F7 B2 C7 0A 56 B0 82 15 00 
00 00 00 00 00 00 00 00 00 00 04 61 AE 7E 7E 08 
01 10 00 00 00 00 00 00 E6 7E 7E 19 00 6D EB 5E 
F7 B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 00 00 
00 00 00 04 61 AE 7E 7E 08 01 10 00 00 00 00 00 
00 E6 7E 7E 19 00 6D EB 5E F7 B2 C7 0A 56 B0 82 
15 00 00 00 00 00 00 00 00 00 00 00 04 61 AE 7E 
7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 19 00 6D 
EB 5E F7 B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 
00 00 00 00 00 04 61 AE 7E 7E 08 01 10 00 00 00 
00 00 00 E6 7E 7E 19 00 6D EB 5E F7 B2 C7 0A 56 
B0 82 15 00 00 00 00 00 00 00 00 00 00 00 04 61 
AE 7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 19 
00 6D EB 5E F7 B2 C7 0A 56 B0 82 15 00 00 00 00 
00 00 00 00 00 00 00 04 61 AE 7E 7E 08 01 10 00 
00 00 00 00 00 E6 7E 7E 19 00 6D EB 5E F7 B2 C7 
0A 56 B0 82 15 00 00 00 00 00 00 00 00 00 00 00 
04 60 AF 7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 
7E 19 00 6D EB 5E F7 B2 C7 0A 56 B0 82 15 00 00 
00 00 00 00 00 00 00 00 00 04 60 AF 7E 7E 08 01 
10 00 00 00 00 00 00 E6 7E 7E 19 00 6D EB 5E F7 
B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 00 00 00 
00 00 04 60 AF 7E 7E 08 01 10 00 00 00 00 00 00 
E6 7E 7E 19 00 6D EB 5E F7 B2 C7 0A 56 B0 82 15 
00 00 00 00 00 00 00 00 00 00 00 04 60 AF 7E 7E 
08 01 10 00 00 00 00 00 00 E6 7E 7E 19 00 6D EB 
5E F7 B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 00 
00 00 00 00 04 61 AE 7E 7E 08 01 10 00 00 00 00 
00 00 E6 7E 7E 19 00 6D EB 5E F7 B2 C7 0A 56 B0 
82 15 00 00 00 00 00 00 00 00 00 00 00 04 61 AE 
7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 19 00 
6D EB 5E F7 B2 C7 0A 56 B0 82 15 00 00 00 00 00 
00 00 00 00 00 00 04 63 AC 7E 7E 08 01 10 00 00 
00 00 00 00 E6 7E 7E 19 00 6D EB 5E F7 B2 C7 0A 
56 B0 82 15 00 00 00 00 00 00 00 00 00 00 00 04 
63 AC 7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 
19 00 AC EB 5E F7 B2 C7 0A 56 B0 82 15 00 00 00 
00 00 00 00 00 00 00 00 04 62 6E 7E 7E 08 01 10 
00 00 00 00 00 00 E6 7E 7E 19 00 AC EB 5E F7 B2 
C7 0A 56 B0 82 15 00 00 00 00 00 00 00 00 00 00 
00 00 62 72 7E 7E 08 01 10 00 00 00 00 00 00 E6 
7E 7E 19 00 C0 03 1F F8 B4 C7 0A 56 B0 82 15 00 
00 00 00 00 00 00 00 00 00 00 04 61 80 7E 7E 08 
01 30 30 01 BA FF 44 00 96 7E 7E 19 00 C0 03 1F 
F8 B4 C7 0A 56 B0 82 15 00 00 00 00 00 00 00 00 
00 00 00 00 61 84 7E 7E 08 01 10 00 00 00 00 00 
00 E6 7E 7E 19 00 CE 03 1F F8 B2 C7 0A 56 B0 82 
15 00 00 00 00 00 00 00 00 00 00 00 04 60 75 7E 
7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 19 00 CE 
03 1F F8 B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 
00 00 00 00 00 00 60 79 7E 7E 08 01 10 00 00 00 
00 00 00 E6 7E 7E 19 00 D7 EB 1E F8 B2 C7 0A 56 
B0 82 15 00 00 00 00 00 00 00 00 00 00 00 04 5F 
85 7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 7E 19 
00 D7 EB 1E F8 B2 C7 0A 56 B0 82 15 00 00 00 00 
00 00 00 00 00 00 00 00 5F 89 7E 7E 08 01 10 00 
00 00 00 00 00 E6 7E 7E 19 00 DC EB 1E F8 B2 C7 
0A 56 B0 82 15 00 00 00 00 00 00 00 00 00 00 00 
04 5F 80 7E 7E 08 01 10 00 00 00 00 00 00 E6 7E 
7E 19 00 DC EB 1E F8 B2 C7 0A 56 B0 82 15 00 00 
00 00 00 00 00 00 00 00 00 00 5F 84 7E 7E 08 01 
10 00 00 00 00 00 00 E6 7E 7E 19 00 DE EB 1E F8 
B2 C7 0A 56 B0 82 15 00 00 00 00 00 00 00 00 00 
00 00 04 5F 7D 5E 7E 7E 08 01 10 00 00 00 00 00 
00 E6 7E 7E 19 00 DE EB 1E F8 B2 C7 0A 56 B0 82 
